index_source,id_source,title_source,authors_source,authors_pub,title_pub,titleMatch,url_source,cited_by_source,id_target,title,authors,totalCitations,url,authoerOverlaps,selfcitations
0,5133580170658998981,Biomolecular condensates: organizers of cellular biochemistry,"SF Banani, HO Lee, AA Hyman…","SF BANANI,HO LEE,AA HYMAN,MK ROSEN",Biomolecular condensates: organizers of cellular biochemistry.,High,https://www.nature.com/articles/nrm.2017.7,2082.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
1,13316270127729397843,Liquid phase condensation in cell physiology and disease,"Y Shin, CP Brangwynne","Y SHIN,CP BRANGWYNNE",Liquid phase condensation in cell physiology and disease.,High,https://science.sciencemag.org/content/357/6357/eaaf4382.abstract,1519.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
2,643013240279653975,Protein phase separation: a new phase in cell biology,"S Boeynaems, S Alberti, NL Fawzi, T Mittag…","S BOEYNAEMS,S ALBERTI,NL FAWZI,T MITTAG,M POLYMENIDOU,F ROUSSEAU,J SCHYMKOWITZ,J SHORTER,B WOLOZIN,L VAN DEN BOSCH,P TOMPA,M FUXREITER",Protein Phase Separation: A New Phase in Cell Biology.,High,https://www.sciencedirect.com/science/article/pii/S096289241830028X,895.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
3,1499888481760587074,mRNA structure determines specificity of a polyQ-driven phase separation,"EM Langdon, Y Qiu, AG Niaki, GA McLaughlin…","EM LANGDON,Y QIU,A GHANBARI NIAKI,GA MCLAUGHLIN,CA WEIDMANN,TM GERBICH,JA SMITH,JM CRUTCHLEY,CM TERMINI,KM WEEKS,S MYONG,AS GLADFELTER",mRNA structure determines specificity of a polyQ-driven phase separation.,High,https://science.sciencemag.org/content/360/6391/922.abstract,301.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
4,15878787903976554514,The molecular language of membraneless organelles,"E Gomes, J Shorter","E GOMES,J SHORTER",The molecular language of membraneless organelles.,High,https://www.jbc.org/article/S0021-9258(20)36791-0/abstract,310.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
5,13244811878257894034,Pi-Pi contacts are an overlooked protein feature relevant to phase separation,"RMC Vernon, PA Chong, B Tsang, TH Kim, A Bah…","RM VERNON,PA CHONG,B TSANG,TH KIM,A BAH,P FARBER,H LIN,JD FORMAN-KAY",Pi-Pi contacts are an overlooked protein feature relevant to phase separation.,High,https://elifesciences.org/articles/31486,307.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
6,8653038817291391957,Liquid nuclear condensates mechanically sense and restructure the genome,"Y Shin, YC Chang, DSW Lee, J Berry, DW Sanders…","Y SHIN,YC CHANG,DSW LEE,J BERRY,DW SANDERS,P RONCERAY,NS WINGREEN,M HAATAJA,CP BRANGWYNNE",Liquid Nuclear Condensates Mechanically Sense and Restructure the Genome.,High,https://www.sciencedirect.com/science/article/pii/S0092867418314569,296.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
7,10715284126396155457,Physical principles of intracellular organization via active and passive phase transitions,"J Berry, CP Brangwynne…","J BERRY,CP BRANGWYNNE,M HAATAJA",Physical principles of intracellular organization via active and passive phase transitions.,High,https://iopscience.iop.org/article/10.1088/1361-6633/aaa61e/meta,194.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,0
8,2284092640336702279,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs,"Y Lin, SL Currie, MK Rosen","Y LIN,SL CURRIE,MK ROSEN",Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs.,High,https://www.jbc.org/article/S0021-9258(20)32954-9/abstract,189.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
9,17244818292110137728,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation,"D Sun, R Wu, J Zheng, P Li, L Yu","D SUN,R WU,J ZHENG,P LI,L YU",Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation.,High,https://www.nature.com/articles/s41422-018-0017-7,182.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,0,-1
