id_source,title_source_x,authors_source,url_source,cited_by_source,id_target,title,totalCitations,url,clusterid,authors,index_source,pubmed_id,title_pub,title_source_y,authors_pub,clusterid_google,titleMatch,authoerOverlaps,selfcitations
5133580170658998981,Biomolecular condensates: organizers of cellular biochemistry,"SF Banani, HO Lee, AA Hyman…",https://www.nature.com/articles/nrm.2017.7,2082.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",0,28225081.0,Biomolecular condensates: organizers of cellular biochemistry.,Biomolecular condensates: organizers of cellular biochemistry,"SF BANANI,HO LEE,AA HYMAN,MK ROSEN",5133580170658998981,High,0,0
13316270127729397843,Liquid phase condensation in cell physiology and disease,"Y Shin, CP Brangwynne",https://science.sciencemag.org/content/357/6357/eaaf4382.abstract,1519.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",1,28935776.0,Liquid phase condensation in cell physiology and disease.,Liquid phase condensation in cell physiology and disease,"Y SHIN,CP BRANGWYNNE",13316270127729397843,High,0,-1
643013240279653975,Protein phase separation: a new phase in cell biology,"S Boeynaems, S Alberti, NL Fawzi, T Mittag…",https://www.sciencedirect.com/science/article/pii/S096289241830028X,895.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",2,,,Protein phase separation: a new phase in cell biology,,643013240279653975,None,0,0
1499888481760587074,mRNA structure determines specificity of a polyQ-driven phase separation,"EM Langdon, Y Qiu, AG Niaki, GA McLaughlin…",https://science.sciencemag.org/content/360/6391/922.abstract,301.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",3,29650703.0,mRNA structure determines specificity of a polyQ-driven phase separation.,mRNA structure determines specificity of a polyQ-driven phase separation,"EM LANGDON,Y QIU,A GHANBARI NIAKI,GA MCLAUGHLIN,CA WEIDMANN,TM GERBICH,JA SMITH,JM CRUTCHLEY,CM TERMINI,KM WEEKS,S MYONG,AS GLADFELTER",1499888481760587074,High,0,0
15878787903976554514,The molecular language of membraneless organelles,"E Gomes, J Shorter",https://www.jbc.org/article/S0021-9258(20)36791-0/abstract,310.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",4,30045872.0,The molecular language of membraneless organelles.,The molecular language of membraneless organelles,"E GOMES,J SHORTER",15878787903976554514,High,0,-1
13244811878257894034,Pi-Pi contacts are an overlooked protein feature relevant to phase separation,"RMC Vernon, PA Chong, B Tsang, TH Kim, A Bah…",https://elifesciences.org/articles/31486,307.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",5,29424691.0,Pi-Pi contacts are an overlooked protein feature relevant to phase separation.,Pi-Pi contacts are an overlooked protein feature relevant to phase separation,"RM VERNON,PA CHONG,B TSANG,TH KIM,A BAH,P FARBER,H LIN,JD FORMAN-KAY",13244811878257894034,High,0,0
8653038817291391957,Liquid nuclear condensates mechanically sense and restructure the genome,"Y Shin, YC Chang, DSW Lee, J Berry, DW Sanders…",https://www.sciencedirect.com/science/article/pii/S0092867418314569,296.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",6,30849377.0,Liquid Nuclear Condensates Mechanically Sense and Restructure the Genome.,Liquid nuclear condensates mechanically sense and restructure the genome,"Y SHIN,YC CHANG,DSW LEE,J BERRY,DW SANDERS,P RONCERAY,NS WINGREEN,M HAATAJA,CP BRANGWYNNE",8653038817291391957,High,0,0
10715284126396155457,Physical principles of intracellular organization via active and passive phase transitions,"J Berry, CP Brangwynne…",https://iopscience.iop.org/article/10.1088/1361-6633/aaa61e/meta,194.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",7,29313527.0,Physical principles of intracellular organization via active and passive phase transitions.,Physical principles of intracellular organization via active and passive phase transitions,"J BERRY,CP BRANGWYNNE,M HAATAJA",10715284126396155457,High,0,0
2284092640336702279,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs,"Y Lin, SL Currie, MK Rosen",https://www.jbc.org/article/S0021-9258(20)32954-9/abstract,189.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",8,28924037.0,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs.,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs,"Y LIN,SL CURRIE,MK ROSEN",2284092640336702279,High,0,-1
17244818292110137728,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation,"D Sun, R Wu, J Zheng, P Li, L Yu",https://www.nature.com/articles/s41422-018-0017-7,182.0,7601154960238900186,Phase transition in postsynaptic densities underlies formation of synaptic complexes and synaptic plasticity,264,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7601154960238900186,7601154960238900186,"M Zeng, Y Shang, Y Araki, T Guo, RL Huganir, M Zhang",9,29507397.0,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation.,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation,"D SUN,R WU,J ZHENG,P LI,L YU",17244818292110137728,High,0,-1
