index_source,pubmed_id,title_pub,title_source,authors_pub,clusterid_google,titleMatch
0,28225081,Biomolecular condensates: organizers of cellular biochemistry.,Biomolecular condensates: organizers of cellular biochemistry,"SF BANANI,HO LEE,AA HYMAN,MK ROSEN",5133580170658998981,High
1,28935776,Liquid phase condensation in cell physiology and disease.,Liquid phase condensation in cell physiology and disease,"Y SHIN,CP BRANGWYNNE",13316270127729397843,High
2,,,Protein phase separation: a new phase in cell biology,,643013240279653975,None
3,29650703,mRNA structure determines specificity of a polyQ-driven phase separation.,mRNA structure determines specificity of a polyQ-driven phase separation,"EM LANGDON,Y QIU,A GHANBARI NIAKI,GA MCLAUGHLIN,CA WEIDMANN,TM GERBICH,JA SMITH,JM CRUTCHLEY,CM TERMINI,KM WEEKS,S MYONG,AS GLADFELTER",1499888481760587074,High
4,30045872,The molecular language of membraneless organelles.,The molecular language of membraneless organelles,"E GOMES,J SHORTER",15878787903976554514,High
5,29424691,Pi-Pi contacts are an overlooked protein feature relevant to phase separation.,Pi-Pi contacts are an overlooked protein feature relevant to phase separation,"RM VERNON,PA CHONG,B TSANG,TH KIM,A BAH,P FARBER,H LIN,JD FORMAN-KAY",13244811878257894034,High
6,30849377,Liquid Nuclear Condensates Mechanically Sense and Restructure the Genome.,Liquid nuclear condensates mechanically sense and restructure the genome,"Y SHIN,YC CHANG,DSW LEE,J BERRY,DW SANDERS,P RONCERAY,NS WINGREEN,M HAATAJA,CP BRANGWYNNE",8653038817291391957,High
7,29313527,Physical principles of intracellular organization via active and passive phase transitions.,Physical principles of intracellular organization via active and passive phase transitions,"J BERRY,CP BRANGWYNNE,M HAATAJA",10715284126396155457,High
8,28924037,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs.,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs,"Y LIN,SL CURRIE,MK ROSEN",2284092640336702279,High
9,29507397,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation.,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation,"D SUN,R WU,J ZHENG,P LI,L YU",17244818292110137728,High
10,30078712,Reconstituted Postsynaptic Density as a Molecular Platform for Understanding Synapse Formation and Plasticity.,Reconstituted postsynaptic density as a molecular platform for understanding synapse formation and plasticity,"M ZENG,X CHEN,D GUAN,J XU,H WU,P TONG,M ZHANG",14922012015215514771,High
11,30099028,Who's In and Who's Out-Compositional Control of Biomolecular Condensates.,Who's in and who's out—compositional control of biomolecular condensates,"JA DITLEV,LB CASE,MK ROSEN",8783719798375894721,High
12,29686261,Synaptic nanomodules underlie the organization and plasticity of spine synapses.,Synaptic nanomodules underlie the organization and plasticity of spine synapses,"M HRUSKA,N HENDERSON,SJ LE MARCHAND,H JAFRI,MB DALVA",10078598276769547013,High
13,30765518,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation.,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation,"B TSANG,J ARSENAULT,RM VERNON,H LIN,N SONENBERG,LY WANG,A BAH,JD FORMAN-KAY",2281246655446371337,High
14,28808090,The wisdom of crowds: regulating cell function through condensed states of living matter.,The wisdom of crowds: regulating cell function through condensed states of living matter,S ALBERTI,14681333917779263288,High
15,28483149,Phase Separation and Single-Chain Compactness of Charged Disordered Proteins Are Strongly Correlated.,Phase separation and single-chain compactness of charged disordered proteins are strongly correlated,"YH LIN,HS CHAN",4762778481842185389,High
16,31675499,Phase Separation of Zonula Occludens Proteins Drives Formation of Tight Junctions.,Phase separation of zonula occludens proteins drives formation of tight junctions,"O BEUTEL,R MARASPINI,K POMBO-GARCÍA,C MARTIN-LEMAITRE,A HONIGMANN",1058052564845080706,High
17,29311144,Differentiation and Characterization of Excitatory and Inhibitory Synapses by Cryo-electron Tomography and Correlative Microscopy.,Differentiation and characterization of excitatory and inhibitory synapses by cryo-electron tomography and correlative microscopy,"CL TAO,YT LIU,R SUN,B ZHANG,L QI,S SHIVAKOTI,CL TIAN,P ZHANG,PM LAU,ZH ZHOU,GQ BI",9453429773624475047,High
18,28577431,Supramolecular organization of NMDA receptors and the postsynaptic density.,Supramolecular organization of NMDA receptors and the postsynaptic density,"RA FRANK,SG GRANT",13713010831608411479,High
19,30728452,"PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins.","PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins","Y DUAN,A DU,J GU,G DUAN,C WANG,X GUI,Z MA,B QIAN,X DENG,K ZHANG,L SUN,K TIAN,Y ZHANG,H JIANG,C LIU,Y FANG",2133208781723782050,High
20,28236779,MAGUKs: multifaceted synaptic organizers.,MAGUKs: multifaceted synaptic organizers,"S WON,JM LEVY,RA NICOLL,KW ROCHE",17422161544730430595,High
21,30661983,RIM and RIM-BP Form Presynaptic Active-Zone-like Condensates via Phase Separation.,RIM and RIM-BP form presynaptic active-zone-like condensates via phase separation,"X WU,Q CAI,Z SHEN,X CHEN,M ZENG,S DU,M ZHANG",11499238290805982838,High
22,29777761,Functional organization of postsynaptic glutamate receptors.,Functional organization of postsynaptic glutamate receptors,"N SCHEEFHALS,HD MACGILLAVRY",15000403975745340033,High
23,28683268,Physico-Pathologic Mechanisms Involved in Neurodegeneration: Misfolded Protein-Plasma Membrane Interactions.,Physico-pathologic mechanisms involved in neurodegeneration: misfolded protein-plasma membrane interactions,"AN SHRIVASTAVA,A APERIA,R MELKI,A TRILLER",1045917828968150117,High
